id,title,author,year,isbn,language,publisher,cover,description,categories,available
clean-code,"Clean Code","Robert C. Martin",2008,9780132350884,en,"Prentice Hall","assets/imagens/cover-clean-code.svg","Práticas e princípios para escrever código limpo, legível e de fácil manutenção.","Programação|Software",true
ai-modern,"Artificial Intelligence: A Modern Approach","Stuart Russell; Peter Norvig",2020,9780134610993,en,Pearson,"assets/imagens/cover-ai.svg","Referência abrangente sobre inteligência artificial cobrindo teoria e aplicações.","Inteligência Artificial|Tecnologia",true
estruturas,"Estruturas de Dados e Algoritmos","Michael T. Goodrich",2014,9781118290279,pt-BR,Wiley,"assets/imagens/cover-estruturas.svg","Conceitos fundamentais de estruturas e algoritmos com exemplos e exercícios.","Programação|Ciência da Computação",true
programacao,"Introdução à Programação","A. Silva",2022,,pt-BR,UniFECAF,"assets/imagens/cover-programacao.svg","Material didático introdutório voltado ao estudante que inicia em programação.","Acadêmico|Programação",true
metodologia,"Metodologia Científica","M. Souza",2020,,pt-BR,UniFECAF,"assets/imagens/cover-metodologia.svg","Guia prático para elaboração de trabalhos acadêmicos e normas de referência.","Acadêmico|Pesquisa",true
redes,"Redes de Computadores","R. Costa",2021,,pt-BR,UniFECAF,"assets/imagens/cover-redes.svg","Protocolos, arquiteturas e práticas para projetar e operar redes de computadores.","Tecnologia|Redes",true
gestao,"Gestão Estratégica","P. Lima",2019,,pt-BR,UniFECAF,"assets/imagens/cover-gestao.svg","Planejamento e formulação de estratégias organizacionais para ambientes competitivos.","Gestão|Administração",true
ml,"Machine Learning & Deep Learning","I. Goodfellow",2016,,en,MITPress,"assets/imagens/cover-ml.svg","Fundamentos e técnicas de aprendizado de máquina e redes neurais profundas.","Inteligência Artificial|Machine Learning",true
design-patterns,"Design Patterns","Erich Gamma et al.",1994,9780201633610,en,Addison-Wesley,"assets/imagens/cover-design-patterns.svg","Padrões de projeto clássicos para desenvolvimento orientado a objetos.","Programação|Software",true
db-systems,"Database System Concepts","Silberschatz; Korth; Sudarshan",2019,9780078022159,en,McGraw-Hill,"assets/imagens/cover-db-systems.svg","Conceitos de sistemas de banco de dados, modelagem, SQL e implementação.","Banco de Dados|Tecnologia",true
os,"Operating System Concepts","Abraham Silberschatz",2018,9781119456339,en,Wiley,"assets/imagens/cover-os.svg","Fundamentos de sistemas operacionais: processos, memória, sistema de arquivos e concorrência.","Sistemas|Tecnologia",true
data-science,"Data Science from Scratch","Joel Grus",2019,9781492041139,en,O'Reilly,"assets/imagens/cover-data-science.svg","Introdução prática a ciência de dados usando Python e exemplos aplicados.","Data Science|Tecnologia",true
calculus,"Calculus: Early Transcendentals","James Stewart",2015,9781285741550,en,Cengage,"assets/imagens/cover-calculus.svg","Cálculo diferencial e integral com aplicações em engenharia e ciências.","Matemática|Acadêmico",true
statistics,"Introduction to the Practice of Statistics","Moore; McCabe; Craig",2017,9781464189759,en,W.H. Freeman,"assets/imagens/cover-statistics.svg","Estatística aplicada com ênfase em interpretação e prática.","Estatística|Matemática",true
project-management,"Project Management","Harold Kerzner",2017,9781119165354,en,Wiley,"assets/imagens/cover-project-management.svg","Gestão de projetos com ferramentas, técnicas e estudos de caso.","Gestão|Projetos",true
entrepreneurship,"The Lean Startup","Eric Ries",2011,9780307887894,en,Crown,"assets/imagens/cover-entrepreneurship.svg","Metodologias lean para empreendedores desenvolverem produtos e negócios com eficiência.","Gestão|Empreendedorismo",true
